GEOID,equity_score,pct_renters,rent_burdened_pct,poverty_rate,no_vehicle_pct,public_transit_pct,median_income,median_rent,renter_majority,rent_burdened,transit_dependent,low_income,equity_priority,vulnerability_score,high_vulnerability
06085501902,3,84.0,44.2,3.8,6.1,8.9,131750.0,2866.0,True,True,True,True,False,4,True
06085502002,3,71.6,33.1,8.1,7.1,3.3,115391.0,2414.0,True,False,True,True,False,3,True
06085501901,2,73.3,41.1,6.2,10.6,7.1,145862.0,2769.0,True,True,True,False,False,3,True
06085500600,2,70.1,40.4,8.3,11.2,5.8,136250.0,2708.0,True,True,True,False,False,3,True
06085501000,3,91.9,34.6,18.5,26.1,6.9,63291.0,1769.0,True,False,True,True,False,3,True
06085500901,3,79.3,35.3,37.1,23.2,9.7,81197.0,2135.0,True,False,True,True,False,3,True
06085501700,4,71.2,34.2,10.9,4.5,6.1,106354.0,2447.0,True,False,False,True,True,3,True
06085500200,3,75.4,29.6,14.0,6.6,1.4,122238.0,2718.0,True,False,True,True,False,3,True
06085500400,2,58.5,45.9,4.2,7.6,10.1,151809.0,2346.0,True,True,True,False,False,3,True
06085500500,1,20.7,46.7,4.6,10.6,7.8,177625.0,2334.0,False,True,True,False,False,2,False
06085500800,2,79.3,31.1,11.6,19.3,5.2,146986.0,2965.0,True,False,True,False,False,2,False
06085501800,2,49.7,55.4,7.1,3.6,0.9,138750.0,2316.0,True,True,False,False,False,2,False
06085500300,2,62.3,36.8,11.7,3.4,8.5,137917.0,2770.0,True,False,False,False,False,1,False
