PARCELID,APN,zbase,acres,coverage_pct,gross_capacity,flag
579060,25923024,DC,9.51,0.1,3329,underbuilt
44410,25927027,DC,6.84,11.1,2394,underbuilt
342811,25928041,DC,5.35,0.0,1872,zero footprint — verify (parking/vacant or civic/rail)
1000002155,25938142,DC,4.38,0.0,1532,zero footprint — verify (parking/vacant or civic/rail)
47117,26135027,DC,4.26,0.0,1492,zero footprint — verify (parking/vacant or civic/rail)
1000026169,25942086,DC,2.53,0.2,886,underbuilt
44823,25941???,DC,2.06,0.5,722,underbuilt
363884,25928045,DC,1.8,0.4,632,underbuilt
47118,26135014,DC,1.76,0.0,618,zero footprint — verify (parking/vacant or civic/rail)
1000002078,46746080,DC,1.74,13.8,610,underbuilt
527053,25929102,DC,1.67,0.0,585,zero footprint — verify (parking/vacant or civic/rail)
421235,25938130,DC,1.62,0.2,566,underbuilt
1000026710,26135035,DC,1.59,0.9,557,underbuilt
44392,25926020,DC,1.57,6.3,550,underbuilt
1007125,25953C01,TR,2.12,9.7,529,underbuilt
